country,site_domain,website_id,chain_guess,retailer_class_guess,relevance_score,robots_status,notes
BE,aldi.be,be:aldi.be,aldi.be,grocery,0.7,allowed,
BE,avo.be,be:avo.be,avo.be,grocery,0.5,allowed,
BE,bioplanet.be,be:bioplanet.be,bioplanet.be,grocery,0.7,allowed,
BE,carrefour.be,be:carrefour.be,carrefour.be,grocery,0.7,blocked,
BE,collectandgo.be,be:collectandgo.be,collectandgo.be,grocery,0.5,allowed,
BE,colruyt.be,be:colruyt.be,colruyt.be,grocery,0.7,allowed,
BE,cora.be,be:cora.be,cora.be,grocery,0.7,allowed,
BE,delhaize.be,be:delhaize.be,delhaize.be,grocery,0.7,allowed,
BE,di.be,be:di.be,di.be,grocery,0.5,allowed,
BE,farmaline.be,be:farmaline.be,farmaline.be,grocery,0.5,allowed,
BE,intermarche.be,be:intermarche.be,intermarche.be,grocery,0.7,allowed,
BE,kruidvat.be,be:kruidvat.be,kruidvat.be,grocery,0.5,allowed,
BE,lidl.be,be:lidl.be,lidl.be,grocery,0.7,allowed,
BE,match.be,be:match.be,match.be,grocery,0.7,review,
BE,okay.be,be:okay.be,okay.be,grocery,0.7,allowed,
BE,okaydrive.be,be:okaydrive.be,okaydrive.be,grocery,0.9,allowed,
BE,planeta.be,be:planeta.be,planeta.be,grocery,0.5,review,
BE,spar.be,be:spar.be,spar.be,grocery,0.7,allowed,
